Nombre,"Mov. propio (""/año)",Distancia (pc),Índice espectral (B-V),Mv,Vt (km/s),V total (km/s)
HD 103095,6.9426,9.17,0.75,6.64,301.89,317.40
Proxima Centauri,3.8654,1.30,1.82,15.56,23.86,31.51
Lacaille 9352,15.4931,3.29,1.44,9.81,241.51,241.67
Gliese 1,6.1867,4.35,1.46,10.37,127.47,130.00
Lalande 21185,4.7747,2.55,1.44,10.49,57.64,102.40
Kapteyn star,8.5684,3.93,1.58,10.88,159.81,292.70
Epsilon indi,4.8384,3.64,1.06,6.89,83.46,92.56
Barnard star,10.4759,1.83,1.73,13.20,90.80,142.72
CD-46293,1.6940,48.68,1.11,8.19,390.95,394.83
Wolf 1324,1.3439,30.39,1.21,8.27,193.64,259.25
